name,color
Austria,#ffc40d
Belgium,#049cdb
Denmark,#7a43b6
Finland,#7a43b6
France,#049cdb
Germany,#ffc40d
United Kingdom,#049cdb
Greece,#46a546
Ireland,#049cdb
Italy,#46a546
Luxembourg,#049cdb
Netherlands,#049cdb
Portugal,#9d261d
Spain,#9d261d
Sweden,#7a43b6
Switzerland,#049cdb
Iceland,#7a43b6
Liechtenstein,#049cdb
Norway,#7a43b6
Andorra,#9d261d
Bosnia and Herzegovina,#f89406
Faroe Islands,#7a43b6
Macedonia the former Yugoslav Republic of,#f89406
Monaco,#049cdb
San Marino,#049cdb
Serbia and Montenegro,#f89406
Albania,#f89406
Bulgaria,#f89406
Croatia,#f89406
Cyprus,#46a546
Czech Republic,#ffc40d
Hungary,#ffc40d
Malta,#46a546
Poland,#ffc40d
Romania,#f89406
Slovakia,#ffc40d
Slovenia,#ffc40d
Estonia,#c3325f
Latvia,#c3325f
Lithuania,#c3325f
Belarus,#c3325f
Georgia,#f89406
Republic of Moldova,#f89406
Ukraine,#f89406